objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,version_publishers,version_languages,version_yearpublished,version_nickname
"Mansions of Madness: Second Edition","205059","8","","0","1","0","0","0","0","0","0","0","1","","","","","","44886840","7.88496","8.18327","2.6576","23","21794","thing","Mansions of Madness: Second Edition","1","5","180","180","120","2016","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Munchkin","1927","5","","0","1","0","0","0","0","0","0","0","3","","","","","","24018575","5.75702","5.9266","1.7909","3557","58274","thing","Munchkin","3","6","120","120","60","2001","3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Mysterium","181304","10","","0","1","0","0","0","0","0","0","0","1","","","","","","30778110","7.28485","7.43572","1.9115","172","30675","thing","Mysterium","2","7","42","42","42","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","",""
"Mysterium: Hidden Signs","192661","10","","0","1","0","0","0","0","0","0","0","3","","","","","","45885248","6.82836","7.86715","1.8421","0","6509","thing","Mysterium: Hidden Signs","2","7","42","42","42","2016","3,4,5,6,7","5","8+","No necessary in-game text","","","","","","expansion","","","",""
"Near and Far","195421","10","","0","1","0","0","0","0","0","0","0","3","","","","","","43087001","7.37383","7.98154","2.7349","127","9368","thing","Near and Far","2","4","120","120","60","2017","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Near and Far: Amber Mines","236667","0","","0","1","0","0","0","0","0","0","0","1","","","","","","52568966","5.84006","8.39446","2","0","2322","thing","Near and Far: Amber Mines","2","4","120","120","60","2018","2,3,4","3","","","","","","","","expansion","","","",""
"Nefarious","108044","8","","0","1","0","0","0","0","0","0","0","3","","","","","","30777141","6.0434","6.38667","1.7426","1967","2591","thing","Nefarious","2","6","45","45","30","2011","2,3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"The Networks","72321","9","","0","1","0","0","0","0","0","0","0","2","","","","","","37256024","6.80666","7.29898","2.5571","535","5603","thing","The Networks","1","5","90","90","60","2016","1,2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","",""
"Nuns on the Run","65515","7","","0","1","0","0","0","0","0","0","0","3","","","","","","30777165","6.26272","6.53265","2.0667","1346","4628","thing","Nuns on the Run","2","8","45","45","45","2010","4,5,6,7,8","5,6","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"Oceanos","192860","8","","0","1","0","0","0","0","0","0","0","3","","","","","","43087002","6.43437","6.98829","1.8222","1004","3612","thing","Oceanos","2","5","45","45","30","2016","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","",""
"One Night Revolution","176361","5","","0","1","0","0","0","0","0","0","0","3","","","","","","29983412","5.88044","6.22836","1.8684","2690","3940","thing","One Night Revolution","3","10","15","15","15","2015","5,6,7,8,9,10","5,6","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"The Palace of Mad King Ludwig","223278","0","","0","0","0","0","0","0","0","0","1","3","","","","","","46100480","5.99651","6.95411","2.7143","2139","1222","thing","The Palace of Mad King Ludwig","2","4","75","75","75","2017","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","",""
"Pandemic","30549","7","","0","1","0","0","0","0","0","0","0","3","","","","","","24018562","7.5559","7.64907","2.4242","74","112844","thing","Pandemic","2","4","45","45","45","2008","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"Pandemic","30549","0","","0","0","0","0","0","0","0","0","0","3","","","","","","52620648","7.5559","7.64907","2.4242","74","112844","thing","Pandemic","2","4","45","45","45","2008","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"Paperback","141572","0","","0","0","0","0","0","0","0","0","1","2","","","","","","46101946","7.02856","7.30609","1.9902","319","10748","thing","Paperback","2","5","45","45","45","2014","2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","","",""
"Photosynthesis","218603","7","","0","1","0","0","0","0","0","0","0","1","","","","","","47077897","7.03293","7.32451","2.3268","316","12733","thing","Photosynthesis","2","4","60","60","30","2017","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","",""
"The Pillars of the Earth","24480","0","","0","0","0","0","0","0","0","0","1","2","","","","","","53888252","7.15729","7.31117","2.8288","238","17066","thing","The Pillars of the Earth","2","4","120","120","90","2006","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","",""
"Pioneer Days","200057","0","","0","0","0","0","0","0","0","0","1","2","","","","","","46103326","6.1534","7.45018","2.6296","1628","988","thing","Pioneer Days","2","4","60","60","45","2017","2,3,4","","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","",""
"Potion Explosion","180974","6","","0","1","0","0","0","0","0","0","0","3","","","","","","43086998","6.93358","7.19921","1.7388","402","11658","thing","Potion Explosion","2","4","45","45","30","2015","2,3,4","","8+","No necessary in-game text","","","","","","standalone","","","",""
"Power Grid","2651","5","","0","0","0","0","0","0","0","0","0","3","","","","","","33340843","7.81644","7.90438","3.281","34","55232","thing","Power Grid","2","6","120","120","120","2004","3,4,5,6","4,5","12+","No necessary in-game text","","","","","","standalone","","","",""
"Power Yahtzee","27460","0","","0","1","0","0","0","0","0","0","0","3","","","","","","25783436","5.50525","5.76667","1.5","12607","100","thing","Power Yahtzee","1","4","25","25","25","2007","2,3,4","4","","","","","","","","standalone","","","",""
"Pressure Cooker","152174","7","","0","1","0","0","0","0","0","0","0","3","","","","","","30778035","5.57964","6.30163","1.875","6928","303","thing","Pressure Cooker","2","4","45","45","45","2014","2,3,4","3","","No necessary in-game text","","","","","","standalone","","","",""
"Puerto Rico","3076","8","","0","1","0","0","0","0","0","0","0","3","","","","","","25783478","7.93814","8.05063","3.291","15","62640","thing","Puerto Rico","2","5","150","150","90","2002","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","",""
"Pulsar 2849","228341","9","","0","0","0","0","0","0","0","0","1","3","","","","","","46100527","7.0512","7.79059","3.3368","303","3914","thing","Pulsar 2849","2","4","90","90","60","2017","2,3,4","","14+","No necessary in-game text","","","","","","standalone","","","",""
"Race for the Galaxy","28143","6","","0","1","0","0","0","0","0","0","0","3","","","","","","25783447","7.66999","7.76448","2.9761","47","46635","thing","Race for the Galaxy","2","4","60","60","30","2007","2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"Reef","244228","0","","0","0","0","0","0","0","0","0","1","2","","","","","","53824912","6.19058","7.34688","2.0667","1528","1373","thing","Reef","2","4","45","45","30","2018","2,3,4","","6+","No necessary in-game text","","","","","","standalone","","","",""
"The Resistance: Avalon","128882","9","","0","1","0","0","0","0","0","0","0","3","","","","","","24018573","7.484","7.65229","1.7739","87","29125","thing","The Resistance: Avalon","5","10","30","30","30","2012","5,6,7,8,9,10","7,8","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"The Rise of Queensdale","238546","0","","0","0","0","0","0","0","0","0","1","2","","","","","","53824836","5.77869","7.62881","2.5556","3353","544","thing","The Rise of Queensdale","2","4","60","60","45","2018","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Robinson Crusoe: Adventures on the Cursed Island","121921","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","47005187","7.7697","7.9374","3.7406","40","37350","thing","Robinson Crusoe: Adventures on the Cursed Island","1","4","120","120","60","2012","1,2,3,4","","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Roll for the Galaxy","132531","9","","0","0","0","0","0","0","0","0","1","3","","","","","","30778022","7.61051","7.7594","2.7572","60","24910","thing","Roll for the Galaxy","2","5","45","45","45","2014","2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","",""
"Root","237182","0","","0","0","0","0","0","0","0","0","1","1","","","","","","53824887","7.3308","8.23513","3.3988","139","5058","thing","Root","2","4","90","90","60","2018","3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Scotland Yard","438","8","","0","1","0","0","0","0","0","0","0","3","","","","","","24278608","6.38382","6.50792","1.9638","1087","18537","thing","Scotland Yard","3","6","45","45","45","1983","2,3,4,5,6","","8+","No necessary in-game text","","","","","","standalone","","","",""
"SeaFall","148261","8","","0","1","0","0","0","0","0","0","0","1","","","","","","37256042","6.12132","6.54274","3.7681","1709","5916","thing","SeaFall","3","5","180","180","120","2016","3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Shakespeare","180511","7","","0","1","0","0","0","0","0","0","0","1","","","","","","31245491","6.90604","7.4772","3.0077","437","4153","thing","Shakespeare","1","4","90","90","20","2015","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","",""
"Sheriff of Nottingham","157969","8","","0","1","0","0","0","0","0","0","0","1","","","","","","44886882","7.11489","7.24407","1.6667","255","33498","thing","Sheriff of Nottingham","3","5","60","60","60","2014","3,4,5","5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"Sleeping Gods","255984","0","","0","0","0","0","0","0","0","0","1","1","","","","","","53825019","0","0","0","0","0","thing","Sleeping Gods","1","2","2500","2500","60","2019","","","","","","","","","","standalone","","","",""
"Specter Ops","155624","6","","0","1","0","0","0","0","0","0","0","3","","","","","","33600404","6.92711","7.3183","2.3846","409","7525","thing","Specter Ops","2","5","120","120","60","2015","2,3,4,5","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","",""
"Spirit Island","162886","0","","0","0","0","0","0","0","0","0","1","2","","","","","","53824963","7.84168","8.39603","3.8939","29","9028","thing","Spirit Island","1","4","120","120","90","2017","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Splendor","148228","8","","0","1","0","0","0","0","0","0","0","3","","","","","","25783380","7.38457","7.49155","1.8241","122","55533","thing","Splendor","2","4","30","30","30","2014","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","",""
"Splendor: Cities of Splendor","220653","0","","0","0","0","0","0","0","0","0","1","2","","","","","","46103212","6.53304","7.48994","2.3103","0","5588","thing","Splendor: Cities of Splendor","2","4","30","30","30","2017","2,3,4","3","8+","No necessary in-game text","","","","","","expansion","","","",""
"Star Fluxx","102104","7","","0","1","0","0","0","0","0","0","0","3","","","","","","24018576","6.10551","6.39282","1.4379","1764","9542","thing","Star Fluxx","2","6","10","10","10","2011","2,3,4,5","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Stone Age","34635","9","","0","1","0","0","0","0","0","0","0","3","","","","","","29983405","7.51078","7.61216","2.4958","80","38521","thing","Stone Age","2","4","90","90","60","2008","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","",""
"Stone Age: The Expansion","107576","8","","0","1","0","0","0","0","0","0","0","3","","","","","","30777146","6.7584","7.41062","2.5238","0","6206","thing","Stone Age: The Expansion","2","5","90","90","60","2011","2,3,4,5","5","10+","No necessary in-game text","","","","","","expansion","","","",""
"Suburbia","123260","9","","0","0","0","0","0","0","0","0","1","3","","","","","","30778140","7.4483","7.58659","2.7753","97","21500","thing","Suburbia","1","4","90","90","90","2012","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","",""
"Sushi Go!","133473","6","","0","1","0","0","0","0","0","0","0","3","","","","","","30777134","6.98723","7.0992","1.1663","357","41309","thing","Sushi Go!","2","5","15","15","15","2013","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","",""
"T.I.M.E Stories","146508","10","","0","1","0","0","0","0","0","0","0","3","","","","","","39128825","7.64276","7.83939","2.6361","56","25916","thing","T.I.M.E Stories","2","4","240","240","90","2015","3,4","4","14+","Unplayable in another language","","","","","","standalone","","","",""
"TacDex: Pirates","161743","2","","0","1","0","0","0","0","0","0","0","3","","","","","","25783538","5.49586","5.45","1.3333","13391","162","thing","TacDex: Pirates","2","2","10","10","10","2014","","","","","","","","","","standalone","","","",""
"Takenoko","70919","9","","0","1","0","0","0","0","0","0","0","1","","","","","","30778012","7.18861","7.31236","1.9766","218","38710","thing","Takenoko","2","4","45","45","45","2011","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","",""
"Telestrations","46213","9","","0","1","0","0","0","0","0","0","0","3","","","","","","25783393","7.17344","7.4126","1.0952","228","12713","thing","Telestrations","4","8","30","30","30","2009","5,6,7,8","8","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Terraforming Mars","167791","0","","0","0","0","0","0","0","0","0","1","2","","","","","","47005143","8.21541","8.38902","3.2384","4","38768","thing","Terraforming Mars","1","5","120","120","120","2016","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","",""
"Ticket to Ride Map Collection: Volume 6 – France & Old West","233891","0","","0","1","0","0","0","0","0","0","0","2","","","","","","46100544","6.17215","7.78471","2.25","0","1792","thing","Ticket to Ride Map Collection: Volume 6 – France & Old West","2","6","90","90","60","2017","3,4,5,6","5","","","","","","","","expansion","","","",""
"Ticket to Ride: Europe","14996","9","","0","1","0","0","0","0","0","0","0","3","","","","","","25783484","7.45665","7.56903","1.9578","93","58046","thing","Ticket to Ride: Europe","2","5","60","60","30","2005","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","",""
"Tiny Epic Galaxies","163967","9","","0","1","0","0","0","0","0","0","0","1","","","","","","44886890","7.17192","7.41273","2.1538","229","18118","thing","Tiny Epic Galaxies","1","5","60","60","30","2015","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","",""
"Tiny Epic Galaxies: Beyond the Black","200544","0","","0","1","0","0","0","0","0","0","0","3","","","","","","51092822","6.58308","7.89857","2.7273","0","6371","thing","Tiny Epic Galaxies: Beyond the Black","1","5","60","60","30","2017","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","",""
"Tokaido","123540","6","","0","1","0","0","0","0","0","0","0","3","","","","","","27200775","6.88841","7.05122","1.7598","451","21857","thing","Tokaido","2","5","45","45","45","2012","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","",""
"Tsuro","16992","6","","0","1","0","0","0","0","0","0","0","3","","","","","","25783440","6.57387","6.6814","1.2515","793","25755","thing","Tsuro","2","8","15","15","15","2004","2,3,4,5,6,7,8","4,6","6+","No necessary in-game text","","","","","","standalone","","","",""
"Two Rooms and a Boom","134352","8","","0","1","0","0","0","0","0","0","0","3","","","","","","29983402","6.59638","7.04489","1.4359","760","5426","thing","Two Rooms and a Boom","6","30","15","15","15","2013","8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","10,14,16,17,18,19,20,22","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"Ultimate Werewolf Legacy","206715","0","","0","0","0","0","0","0","0","0","1","3","","","","","","52034701","5.54352","8.09758","2.3333","9083","134","thing","Ultimate Werewolf Legacy","8","16","60","60","60","2018","10,11,12,13,14,15,16","12,13,14,15,16","10+","","","","","","","standalone","","","",""
"Unearth","217085","8","","0","1","0","0","0","0","0","0","0","3","","","","","","46100500","6.35915","6.98893","1.9032","1127","3702","thing","Unearth","2","4","60","60","30","2017","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"Vast: The Crystal Caverns","170416","8","","0","1","0","0","0","0","0","0","0","3","","","","","","46102413","6.84275","7.33235","3.5089","499","8196","thing","Vast: The Crystal Caverns","1","5","75","75","75","2016","1,2,3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Xia: Legends of a Drift System","82222","0","","0","1","0","0","0","0","0","0","0","3","","","","","","47005119","7.28796","7.81439","3.1275","168","7373","thing","Xia: Legends of a Drift System","3","5","180","180","60","2014","3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","",""
