objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,version_publishers,version_languages,version_yearpublished,version_nickname
"Above and Below: Groves","213992","5","","0","1","0","0","0","0","0","0","0","3","","","","","","41918582","5.66751","7.02243","3","0","1150","thing","Above and Below: Groves","2","4","120","120","60","2016","2,3,4","3","10+","No necessary in-game text","","","","","","expansion","","","",""
"Agents of SMERSH","111105","6.5","","0","1","0","0","0","0","0","0","0","2","","","","","","31536225","6.34959","7.03976","2.5111","1146","2914","thing","Agents of SMERSH","1","4","90","90","90","2012","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Agricola","31260","8","","0","1","0","0","0","0","0","0","0","3","","","","","","24018577","7.91081","8.0106","3.634","20","65909","thing","Agricola","1","5","150","150","30","2007","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Alexandria","209538","0","","0","0","0","0","0","0","0","0","1","2","","","","","","46102445","5.53991","5.83404","2.5","9399","579","thing","Alexandria","2","4","45","45","45","2017","2,3,4","","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Alien Artifacts","181293","0","","0","0","0","0","0","0","0","0","1","3","","","","","","46103076","6.23931","6.89171","2.9189","1407","2520","thing","Alien Artifacts","2","5","60","60","60","2017","2,3,4,5","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Alpha Bandits","159410","6","","0","1","0","0","0","0","0","0","0","3","","","","","","25783372","0","6.58621","0","0","99","thing","Alpha Bandits","2","4","30","30","30","2014","2,3,4","","12+","Unplayable in another language","","","","","","standalone","","","",""
"Among the Stars","110277","9","","0","0","0","0","0","0","0","0","1","3","","","","","","30778043","6.89141","7.16511","2.2316","449","8321","thing","Among the Stars","2","4","30","30","30","2012","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","",""
"The Ancient World","147253","8","","0","1","0","0","0","0","0","0","0","3","","","","","","41918540","6.4342","7.11213","2.7172","1005","2534","thing","The Ancient World","2","4","90","90","90","2014","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"Are You the Traitor?","41541","5","","0","1","0","0","0","0","0","0","0","3","","","","","","24018572","5.33474","5.0759","1.4762","15869","1328","thing","Are You the Traitor?","4","10","30","30","30","2009","5,6,7,8,9,10","6,8","10+","No necessary in-game text","","","","","","standalone","","","",""
"Artifacts, Inc.","168609","0","","0","0","0","0","0","0","0","0","1","2","","","","","","53888244","6.42726","6.88302","2.1579","1016","4385","thing","Artifacts, Inc.","2","4","60","60","60","2014","2,3","","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","",""
"Betrayal Legacy","240196","0","","0","0","0","0","0","0","0","0","1","2","","","","","","53824934","0","9.18","0","0","39","thing","Betrayal Legacy","3","5","90","90","45","2018","","","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Black Rose Wars","239942","0","","0","1","0","0","0","0","0","0","0","1","","","","","","52568983","5.58581","8.62935","3.0667","6660","182","thing","Black Rose Wars","1","4","90","90","90","2018","1,2,3,4","","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"Broom Service","172308","7","","0","1","0","0","0","0","0","0","0","3","","","","","","39167845","6.93215","7.24495","2.399","404","9182","thing","Broom Service","2","5","75","75","30","2015","2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"Bruges","136888","8","","0","0","0","0","0","0","0","0","1","4","","","","","","31628254","7.20931","7.46029","2.7538","203","9648","thing","Bruges","2","4","60","60","60","2013","2,3,4","3,4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Campaign Manager 2008","46255","5","","0","1","0","0","0","0","0","0","0","3","","","","","","27200771","6.29575","6.6746","2.2113","1286","2938","thing","Campaign Manager 2008","2","2","50","50","50","2009","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","",""
"Captain Sonar","171131","9","","0","1","0","0","0","0","0","0","0","3","","","","","","37256001","7.42788","7.67998","2.0988","104","13803","thing","Captain Sonar","2","8","60","60","45","2016","4,6,7,8","8","10+","No necessary in-game text","","","","","","standalone","","","",""
"Carcassonne","822","7","","0","1","0","0","0","0","0","0","0","3","","","","","","24018570","7.33025","7.43335","1.9296","140","113122","thing","Carcassonne","2","5","45","45","30","2000","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","",""
"Cards Against Humanity","50381","5","","0","1","0","0","0","0","0","0","0","3","","","","","","25786485","5.89715","6.06442","1.2254","2601","30026","thing","Cards Against Humanity","4","30","30","30","30","2009","4,5,6,7,8,9,10,11,12","6,7,8","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Castles of Mad King Ludwig","155426","9","","0","1","0","0","0","0","0","0","0","3","","","","","","28803728","7.4911","7.64823","2.6627","84","22855","thing","Castles of Mad King Ludwig","1","4","90","90","90","2014","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"Castles of Mad King Ludwig: Secrets","174296","7.5","","0","1","0","0","0","0","0","0","0","1","","","","","","30778117","6.54585","7.38673","2.7317","0","5275","thing","Castles of Mad King Ludwig: Secrets","1","4","90","90","45","2015","2,3,4","4","8+","No necessary in-game text","","","","","","expansion","","","",""
"Catan","13","6","","0","1","0","0","0","0","0","0","0","3","","","","","","25783358","7.06138","7.21255","2.3451","293","116182","thing","Catan","3","4","120","120","60","1995","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"Citadels","478","7","","0","1","0","0","0","0","0","0","0","3","","","","","","25786465","7.01664","7.11214","2.0583","333","55654","thing","Citadels","2","8","60","60","20","2000","2,3,4,5,6,7","5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","",""
"City Hall","123844","8","","0","1","0","0","0","0","0","0","0","3","","","","","","30778030","5.72631","6.61963","2.7692","3846","1067","thing","City Hall","2","4","90","90","90","2014","2,3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","","",""
"City of Iron: Second Edition","195503","8","","0","1","0","0","0","0","0","0","0","3","","","","","","34682480","6.27653","7.41113","3.0952","1326","1962","thing","City of Iron: Second Edition","2","4","120","120","120","2016","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"Clue","1294","7","","0","1","0","0","0","0","0","0","0","3","","","","","","25783520","5.56103","5.65595","1.67","7912","23759","thing","Clue","3","6","45","45","45","1949","3,4,5,6","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"Coaster Park","232895","8","","0","0","0","0","0","0","0","0","1","4","","","","","","46102998","5.23168","3.90744","2.3333","15950","455","thing","Coaster Park","2","4","60","60","30","2017","4","4","","","","","","","","standalone","","","",""
"Codenames","178900","8","","0","1","0","0","0","0","0","0","0","3","","","","","","33340848","7.66475","7.75547","1.3209","48","71483","thing","Codenames","2","8","15","15","15","2015","4,5,6,7,8","6,8","10+","Unplayable in another language","","","","","","standalone","","","",""
"Codenames: Pictures","198773","9","","0","1","0","0","0","0","0","0","0","3","","","","","","37256117","7.18993","7.39986","1.2936","216","19775","thing","Codenames: Pictures","2","8","15","15","15","2016","4,5,6,7,8","6","8+","No necessary in-game text","","","","","","standalone","","","",""
"Colony","192934","7","","0","0","0","0","0","0","0","0","1","4","","","","","","35335735","6.11405","6.68316","2.4","1730","1970","thing","Colony","1","4","60","60","45","2016","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"Cosmic Encounter","39463","8","","0","0","0","0","0","0","0","0","0","3","","","","","","33340860","7.41808","7.57275","2.5622","106","27574","thing","Cosmic Encounter","3","5","120","120","60","2008","4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Coup","131357","8","","0","1","0","0","0","0","0","0","0","3","","","","","","25783397","6.94161","7.06031","1.4235","395","43478","thing","Coup","2","6","15","15","15","2012","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"Coup: Rebellion G54","148943","6","","0","1","0","0","0","0","0","0","0","3","","","","","","29983404","6.47948","7.10989","1.9322","927","5157","thing","Coup: Rebellion G54","3","6","15","15","15","2014","3,4,5,6","5,6","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"Coup: Reformation","148931","8","","0","1","0","0","0","0","0","0","0","3","","","","","","25783398","6.8436","7.31334","1.5614","0","12236","thing","Coup: Reformation","2","10","15","15","15","2013","4,5,6,7,8","","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","",""
"Cry Havoc","192457","0","","0","0","0","0","0","0","0","0","1","2","","","","","","47081065","6.94672","7.37537","3.2167","387","7187","thing","Cry Havoc","2","4","120","120","60","2016","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","",""
"Dark Moon","111124","6","","0","1","0","0","0","0","0","0","0","3","","","","","","33600418","6.5877","7.08923","2.3153","778","3851","thing","Dark Moon","3","7","75","75","60","2011","4,5,6,7","5,7","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","",""
"Dead Last","184522","7","","0","1","0","0","0","0","0","0","0","3","","","","","","37256010","6.01349","6.51418","1.0714","2075","2329","thing","Dead Last","6","12","90","90","10","2016","6,7,8,9,10,11,12","8,9","10+","No necessary in-game text","","","","","","standalone","","","",""
"Dead of Winter: A Crossroads Game","150376","9","","0","0","0","0","0","0","0","0","0","3","","","","","","33340852","7.57631","7.72016","3.0016","69","41419","thing","Dead of Winter: A Crossroads Game","2","5","120","120","60","2014","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Dinosaur Island","221194","0","","0","0","0","0","0","0","0","0","1","3","","","","","","46103016","7.16116","7.9117","2.9339","236","5566","thing","Dinosaur Island","1","4","120","120","90","2017","1,2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","",""
"Dixit","39856","7","","0","1","0","0","0","0","0","0","0","3","","","","","","27200780","7.20968","7.31009","1.245","202","51306","thing","Dixit","3","6","30","30","30","2008","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","",""
"Dominion","36218","6","","0","1","0","0","0","0","0","0","0","3","","","","","","25783412","7.55961","7.65754","2.3665","73","84279","thing","Dominion","2","4","30","30","30","2008","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","",""
"Eight-Minute Empire","131366","6","","0","1","0","0","0","0","0","0","0","3","","","","","","41918577","6.43866","6.62185","1.6237","993","7656","thing","Eight-Minute Empire","2","5","20","20","8","2012","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","",""
"Empires of the Void II","218509","8.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","41918573","6.34568","7.61559","3.4","1151","2521","thing","Empires of the Void II","2","5","180","180","90","2018","2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Everdell","199792","0","","0","0","0","0","0","0","0","0","1","1","","","","","","53888218","6.92668","8.17281","2.859","410","3078","thing","Everdell","1","4","80","80","40","2018","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Evolution","155703","8","","0","1","0","0","0","0","0","0","0","3","","","","","","30777137","7.00614","7.22534","2.4569","339","13665","thing","Evolution","2","6","60","60","60","2014","2,3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","",""
"Exploding Kittens: NSFW Deck","172242","0","","0","1","0","0","0","0","0","0","0","3","","","","","","39167862","5.9122","6.16327","1.0738","2526","13965","thing","Exploding Kittens: NSFW Deck","2","5","20","20","10","2015","3,4,5","4,5","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"Fireball Island: The Curse of Vul-Kar","233020","0","","0","1","0","0","0","0","0","0","0","1","","","","","","52568988","5.65486","8.53579","1.5","4818","418","thing","Fireball Island: The Curse of Vul-Kar","2","4","60","60","45","2018","3,4","4","","","","","","","","standalone","","","",""
"Fireball Island: The Curse of Vul-Kar – Crouching Tiger, Hidden Bees!","249326","0","","0","1","0","0","0","0","0","0","0","1","","","","","","52569008","0","8","0","0","157","thing","Fireball Island: The Curse of Vul-Kar – Crouching Tiger, Hidden Bees!","2","4","60","60","30","2018","","","","","","","","","","expansion","","","",""
"Fireball Island: The Curse of Vul-Kar – The Last Adventurer","249325","0","","0","1","0","0","0","0","0","0","0","1","","","","","","52569006","0","7.9375","0","0","174","thing","Fireball Island: The Curse of Vul-Kar – The Last Adventurer","2","5","60","60","30","2018","","","","","","","","","","expansion","","","",""
"Fireball Island: The Curse of Vul-Kar – Treasure Trove","250648","0","","0","1","0","0","0","0","0","0","0","1","","","","","","52569011","0","8","0","0","150","thing","Fireball Island: The Curse of Vul-Kar – Treasure Trove","2","4","45","45","30","2018","","","","","","","","","","expansion","","","",""
"Fireball Island: The Curse of Vul-Kar – Wreck of the Crimson Cutlass","249792","0","","0","1","0","0","0","0","0","0","0","1","","","","","","52569002","0","8.4","0","0","145","thing","Fireball Island: The Curse of Vul-Kar – Wreck of the Crimson Cutlass","2","4","60","60","30","2018","","","","","","","","","","expansion","","","",""
"First Martians: Adventures on the Red Planet","192455","0","","0","1","0","0","0","0","0","0","0","3","","","","","","46103086","6.22175","6.85575","4.1488","1462","5557","thing","First Martians: Adventures on the Red Planet","1","4","90","90","60","2017","1,2,3,4","1","14+","Unplayable in another language","","","","","","standalone","","","",""
"Forbidden Desert","136063","8","","0","1","0","0","0","0","0","0","0","3","","","","","","24018580","7.09082","7.22533","2.0405","272","33076","thing","Forbidden Desert","2","5","45","45","45","2013","1,2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"Forbidden Island","65244","9","","0","1","0","0","0","0","0","0","0","3","","","","","","24018581","6.74075","6.82879","1.7403","605","55329","thing","Forbidden Island","2","4","30","30","30","2010","1,2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"Friday","43570","3","","0","0","0","0","0","0","1","0","0","3","","","","","","30777728","7.03651","7.21506","2.1267","312","21472","thing","Friday","1","1","25","25","25","2011","1","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"Gaia Project","220308","0","","0","0","0","0","0","0","0","0","1","4","","","","","","46101934","8.08306","8.61081","4.3011","8","8228","thing","Gaia Project","1","4","150","150","60","2017","1,2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","",""
"Gizmos","246192","0","","0","0","0","0","0","0","0","0","1","2","","","","","","52569058","6.23951","7.62489","2","1406","1252","thing","Gizmos","2","4","50","50","40","2018","2,3,4","2","10","No necessary in-game text","","","","","","standalone","","","",""
"Gizmos","246192","0","","0","0","0","0","0","0","0","0","0","2","","","","","","53824826","6.23951","7.62489","2","1406","1252","thing","Gizmos","2","4","50","50","40","2018","2,3,4","2","10","No necessary in-game text","","","","","","standalone","","","",""
"Great Western Trail","193738","0","","0","0","0","0","0","0","0","0","1","2","","","","","","47005161","8.06179","8.28927","3.6839","10","19092","thing","Great Western Trail","2","4","150","150","75","2016","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","",""
"Guilds of London","134157","8","","0","1","0","0","0","0","0","0","0","3","","","","","","37256058","6.33416","7.00231","3.0204","1186","3046","thing","Guilds of London","1","4","90","90","45","2016","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","",""
"Immortals","226562","0","","0","0","0","0","0","0","0","0","1","3","","","","","","47005135","5.63501","6.65749","3.5714","5214","469","thing","Immortals","3","5","150","150","120","2017","3,4,5","4","14+","","","","","","","standalone","","","",""
"Islebound","185589","7","","0","1","0","0","0","0","0","0","0","3","","","","","","37256064","6.66424","7.29856","2.82","675","4525","thing","Islebound","2","4","120","120","60","2016","2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","",""
"Islebound: Deep Fog","206142","0","","0","1","0","0","0","0","0","0","0","3","","","","","","41918569","5.55399","7.05625","0","0","373","thing","Islebound: Deep Fog","2","4","90","0","90","2016","","","","","","","","","","expansion","","","",""
"Jungle Speed","8098","0","","0","1","0","0","0","0","0","0","0","3","","","","","","25783427","6.37602","6.54721","1.1459","1101","13079","thing","Jungle Speed","2","8","10","10","10","1997","3,4,5,6,7,8","5,6","6+","No necessary in-game text","","","","","","standalone","","","",""
"Kingdomino","204583","0","","0","0","0","0","0","0","0","0","1","3","","","","","","46100490","7.24603","7.41133","1.1987","185","26422","thing","Kingdomino","2","4","20","20","15","2016","2,3,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","",""
"Kingsburg (Second Edition)","199966","0","","0","0","0","0","0","0","0","0","1","2","","","","","","48791670","6.25245","7.70457","2.3571","1366","1373","thing","Kingsburg (Second Edition)","2","5","120","120","90","2017","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","",""
"Klondike Rush","223602","0","","0","0","0","0","0","0","0","0","1","2","","","","","","53888237","5.7032","6.65479","2.1667","4092","601","thing","Klondike Rush","2","5","60","60","60","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","",""
"Lakebilly Card Game","130900","0","","0","1","0","0","0","0","0","0","0","3","","","","","","25786468","0","4.5","0","0","39","thing","Lakebilly Card Game","2","6","60","60","60","2013","","","","","","","","","","standalone","","","",""
"Last Will","97842","0","","0","0","0","0","0","0","0","0","1","3","","","","","","53888266","7.00496","7.23028","2.6971","341","8966","thing","Last Will","2","5","75","75","45","2011","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","",""
